IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
IMO,BRS,0.44827304164920573,0.8182221137723856,-0.3699490721231799,False,False
IMO,CBD,0.679946867520037,0.7074181100681317,-0.027471242548094743,False,False
IMO,CITES,0.5666452821628487,0.7097175972648917,-0.143072315102043,False,False
IMO,CMS,0.4833764731270465,0.6099978386946237,-0.12662136556757714,False,False
IMO,IFAD,0.6077037450604238,0.6131280218273649,-0.005424276766941127,False,False
IMO,ITC,0.41564612319931193,0.7704978468660804,-0.3548517236667684,False,False
IMO,UNCCD,0.4843295610549636,0.7264928373811133,-0.24216327632614965,False,False
IMO,UNU,0.55339936389278,0.74784307369022,-0.19444370979743997,False,False
IMO,Ramsar,0.2706787205889511,0.8816828465409663,-0.6110041259520151,False,False
IMO,Minamata,0.43287811006259014,0.8441347153119171,-0.41125660524932695,False,False
IMO,UNOOSA,0.349818339488542,0.7556395724494227,-0.4058212329608807,False,False
IMO,UNODC,0.09580169778343733,0.7364831788026089,-0.6406814810191717,False,False
UN DOALOS,UNFCCC,0.8337315375977856,0.38078858101560126,0.45294295658218436,True,True
UN DOALOS,ISA,0.07154812055474036,0.5819102511242811,-0.5103621305695407,False,False
UN DOALOS,UNEP,0.5241659417300519,0.3986440496607952,0.12552189206925674,True,False
UN DOALOS,UNDP,0.5303210558336999,0.5124037478744249,0.01791730795927504,True,False
UN DOALOS,UNCTAD,0.08859649043578052,0.5799098646971833,-0.49131337426140276,False,False
UN DOALOS,UNIDO,0.4520913838702032,0.3342646585476794,0.1178267253225238,True,False
UN DOALOS,ILO,0.7440489884925762,0.39649126834728116,0.347557720145295,True,True
UN DOALOS,ITU,0.0,0.37437016321900984,-0.37437016321900984,False,False
UN DOALOS,UNICEF,0.07004167561859757,0.6738405364678436,-0.603798860849246,False,False
UN DOALOS,WHO,0.19453797332834002,0.5495950964823079,-0.35505712315396787,False,False
UN DOALOS,UNHCR/OHCHR,0.07004167561859757,0.5743709520719787,-0.5043292764533812,False,False
UN DOALOS,UNDRR,0.32543674543517115,0.7021681077898466,-0.37673136235467547,False,False
UN DOALOS,UNGC,0.8462701354862365,0.5231824253080178,0.3230877101782187,True,True
UN DOALOS,IAEA,0.7085904991277179,0.7943994281445502,-0.08580892901683235,False,False
UN DOALOS,WMO,0.7021704276959648,0.8484100058030303,-0.14623957810706545,False,False
